sample_#,kappa,kappa_NH42SO4,kappa_NH4HSO4,kappa_NH4NO3,kappa_NaNO3,kappa_NaCl,kappa_others
2013/1/15 09:00,0.145843372,0.017528034,0,0.020405738,0.107909601,0,0
2013/1/15 20:00,0.188744669,0.049537512,0,0.076310412,0.020356911,0.042539835,0
2013/1/16 08:00,0.103527872,0.019277198,0,0.016940331,0.067310343,0,0
2013/1/16 20:00,0.192580984,0.059286994,0,0.049265385,0.048765727,0.035262879,0
2013/1/17 08:00,0.048879095,0.011294593,0.000118883,0,0.037465619,0,0
2013/1/17 20:00,0.114457816,0.028832683,0,0.007801599,0.048854379,0.028969154,0
2013/1/18 08:00,0.067928776,0.005826717,0.006649986,0,0.048290071,0.007162002,0
2013/1/18 20:00,0.115453883,0.018770939,0,0.005606509,0.0518911,0.039185335,0
2013/1/19 08:00,0.097815543,0.012635187,0,0.02235573,0.06024341,0.002581216,0
2013/1/19 20:00,0.178132599,0.035367821,0,0.050934372,0.027153999,0.064676406,0
2013/1/20 08:00,0.14803486,0.028396225,0,0.02582904,0.079836515,0.01397308,0
2013/1/20 20:00,0.152495811,0.022761196,0,0.0438462,0.059519376,0.026369038,0
2013/1/21 08:00,0.043613994,0.010617474,0,0.009610451,0.023386069,0,0
2013/1/21 20:00,0.05887256,0.011603746,0,0.017516447,0.029752368,0,0
2013/1/22 08:00,0.095770505,0.020686127,0,0.023830493,0.051253885,0,0
2013/1/22 20:00,0.197986232,0.054810727,0,0.03429396,0.042426107,0.066455438,0
2013/1/23 08:00,0.140457397,0.033594264,0,0.023826193,0.054803793,0.028233147,0
2013/1/23 20:00,0.134252836,0.041757233,0,0.014988059,0.052296343,0.025211201,0
2013/1/24 08:00,0.097118957,0.021687808,0,0.017000426,0.055875798,0.002554926,0
2013/1/24 20:00,0.185440109,0.05498367,0,0.053202145,0.06174528,0.015509015,0
2013/1/25 08:00,0.096952755,0.034656762,0,0.002688342,0.05960765,0,0
2013/1/25 20:00,0.114000116,0.028746001,0,0.016083446,0.030156275,0.039014395,0
2013/1/26 08:00,0.151451919,0.049178851,0,0.014421085,0.068540956,0.019311028,0
2013/1/26 20:00,0.183984321,0.039173967,0,0.039404544,0.048169246,0.057236564,0
2013/1/27 08:00,0.077925718,0.019254453,0.003398894,0,0.047949055,0.007323316,0
2013/1/27 20:00,0.080825018,0.019179293,0.005158924,0,0.056128337,0.000358464,0
2013/1/28 08:00,0.081255826,0.013496489,0,0.00068337,0.061193585,0.005882382,0
2013/1/28 20:00,0.107216588,0.015482607,0,0.015422044,0.047093613,0.029218324,0
